name,file,sheet,px_w,px_h,source,old_file
Nymphaea,nymphaea-01-01.png,nymphaea-01,145,122,nymphaea-vr8q2x,nymphaea-vr8q2x-01.png
Nymphaea,nymphaea-01-02.png,nymphaea-01,165,138,nymphaea-vr8q2x,nymphaea-vr8q2x-02.png
Nymphaea,nymphaea-01-03.png,nymphaea-01,165,146,nymphaea-vr8q2x,nymphaea-vr8q2x-03.png
Nymphaea,nymphaea-01-04.png,nymphaea-01,154,131,nymphaea-vr8q2x,nymphaea-vr8q2x-04.png
Nymphaea,nymphaea-01-05.png,nymphaea-01,155,138,nymphaea-vr8q2x,nymphaea-vr8q2x-05.png
Nymphaea,nymphaea-01-06.png,nymphaea-01,145,128,nymphaea-vr8q2x,nymphaea-vr8q2x-06.png
Nymphaea,nymphaea-01-07.png,nymphaea-01,17,170,nymphaea-vr8q2x,nymphaea-vr8q2x-07.png
Nymphaea,nymphaea-01-08.png,nymphaea-01,20,163,nymphaea-vr8q2x,nymphaea-vr8q2x-08.png
Nymphaea,nymphaea-01-09.png,nymphaea-01,154,152,nymphaea-vr8q2x,nymphaea-vr8q2x-09.png
Nymphaea,nymphaea-01-10.png,nymphaea-01,144,125,nymphaea-vr8q2x,nymphaea-vr8q2x-10.png
Nymphaea,nymphaea-01-11.png,nymphaea-01,27,153,nymphaea-vr8q2x,nymphaea-vr8q2x-11.png
Calla Lily,calla-lily-04-01.png,calla-lily-04,80,494,calla-lily-kcwhfh,calla-lily-kcwhfh-01.png
Calla Lily,calla-lily-04-02.png,calla-lily-04,100,474,calla-lily-kcwhfh,calla-lily-kcwhfh-02.png
Calla Lily,calla-lily-04-03.png,calla-lily-04,93,440,calla-lily-kcwhfh,calla-lily-kcwhfh-03.png
Calla Lily,calla-lily-04-04.png,calla-lily-04,92,437,calla-lily-kcwhfh,calla-lily-kcwhfh-04.png
Calla,calla-02-01.png,calla-02,103,494,calla-cuturn,calla-cuturn-01.png
Calla,calla-02-02.png,calla-02,98,492,calla-cuturn,calla-cuturn-02.png
Calla,calla-02-03.png,calla-02,84,487,calla-cuturn,calla-cuturn-03.png
Bougainvillea,bougainvillea-01-01.png,bougainvillea-01,66,135,bougainvillea-hmrdgm,bougainvillea-hmrdgm-01.png
Bougainvillea,bougainvillea-01-02.png,bougainvillea-01,33,73,bougainvillea-hmrdgm,bougainvillea-hmrdgm-02.png
Bougainvillea,bougainvillea-01-03.png,bougainvillea-01,64,114,bougainvillea-hmrdgm,bougainvillea-hmrdgm-03.png
